,Seed 1,Seed 37,Seed 42
455,-184.765067,-317.0096673,-206.377738
456,-184.8259771,-315.9953612,-205.8035181
457,-184.6895395,-320.2738209,-206.7495811
458,-186.627198,-319.538732,-207.0963099
459,-186.4779509,-315.4732935,-208.4072038
460,-187.1997191,-311.4627627,-203.5713579
461,-187.0542574,-310.197996,-202.9593739
462,-186.4635827,-308.5823535,-200.2875866
463,-183.0814208,-309.0546092,-201.1373747
464,-182.4425795,-306.2087037,-204.8031634
465,-182.7698764,-307.6776047,-205.0143943
466,-183.1385769,-308.2409126,-206.3639953
467,-183.5034949,-307.0642522,-210.120789
468,-181.5135627,-306.9474613,-214.5242157
469,-180.3319359,-310.2131589,-213.8446788
470,-181.0532916,-311.3604442,-212.4257702
471,-180.981732,-310.2884879,-215.4055221
472,-180.0850411,-310.0740862,-215.4776449
473,-180.4130189,-310.4472723,-215.257417
474,-179.962829,-309.7279123,-213.160134
475,-177.0102843,-309.5868316,-211.8095956
476,-176.8192765,-309.8802435,-210.5019297
477,-176.808895,-305.0930388,-210.5422006
478,-175.982113,-299.4468735,-210.1250114
479,-177.7131378,-292.6775756,-202.7023223
480,-177.6634923,-295.7871419,-203.4104428
481,-177.6145371,-296.701068,-204.5036568
482,-180.3504351,-297.8659488,-205.5291893
483,-184.3396656,-298.4198034,-205.607141
484,-184.5233409,-300.1778087,-205.6381934
485,-184.4772798,-302.3826756,-205.6189847
486,-183.6377461,-298.3707438,-207.8843711
487,-182.2554896,-291.4558186,-208.1152275
488,-184.9929524,-292.1513104,-203.5409741
489,-185.2501725,-289.7859871,-202.239949
490,-183.4232761,-282.5223026,-202.3334753
491,-182.8830976,-283.026811,-203.3602776
492,-182.9369947,-279.0715824,-204.1674037
493,-183.1035123,-271.7088349,-204.2891608
494,-182.9850639,-272.0064538,-205.2037081
495,-182.5334648,-268.6589476,-204.6708612
496,-183.8533119,-268.4113092,-204.1337968
497,-188.8537836,-265.9454183,-207.8312125
498,-190.6858576,-270.7160453,-207.925543
499,-190.6395277,-270.9749936,-206.9976985
500,-189.1568541,-267.8144506,-206.9828246
501,-189.9080395,-263.3193183,-207.4766809
502,-189.8351963,-263.9258786,-206.0801463
503,-190.2808027,-264.648659,-209.4367834
504,-189.4723962,-264.6880299,-208.8588707
505,-190.106888,-264.6320752,-206.7850805
506,-189.9873266,-262.6360528,-206.1866206
507,-189.0446315,-253.6454914,-203.4978495
508,-183.8026746,-254.3516232,-201.9512093
509,-184.1265229,-253.0769552,-201.7919664
510,-183.3659251,-253.300297,-203.2801276
511,-183.5608343,-252.8862204,-200.5447703
512,-178.6355456,-253.1045606,-195.9887062
513,-179.0161075,-247.823954,-192.4782842
514,-176.9063012,-240.3156703,-189.9586623
515,-178.5701943,-242.0146278,-192.5484903
516,-178.9295567,-240.9491116,-195.3654401
517,-177.3839981,-242.9616852,-200.4349724
518,-178.1699746,-242.1385804,-203.0865452
519,-177.7580273,-236.9855301,-203.0703064
520,-177.7639008,-236.2328239,-202.4602249
521,-178.3662822,-229.9956398,-202.9420671
522,-178.4653604,-227.0323014,-202.4305845
523,-177.5550399,-227.4028038,-200.7629633
524,-177.5064217,-227.1573241,-199.1397871
525,-180.3896691,-226.9062111,-195.3210406
526,-189.5614016,-223.7584435,-188.9285836
527,-192.4060179,-221.963755,-187.079803
528,-194.6052814,-221.5491071,-186.3476875
529,-194.6109784,-221.2824716,-184.6448287
530,-195.0661694,-221.4276046,-182.3669165
531,-194.4311903,-220.9331767,-182.1871133
532,-194.3090826,-219.4975535,-182.0212522
533,-194.2484305,-220.6929285,-184.1230396
534,-194.3760107,-220.9574068,-184.270429
535,-192.0760603,-221.0648725,-182.4026563
536,-190.8376658,-218.211513,-183.2222043
537,-190.1801153,-215.1401647,-183.1628821
538,-190.4134301,-212.2329134,-183.4507101
539,-190.1600945,-210.9381259,-186.2256803
540,-190.7888168,-210.8781465,-182.5297005
541,-191.6802154,-207.4656553,-184.9898884
542,-191.3601848,-203.603286,-187.2026467
543,-189.5040183,-202.5073744,-192.2396169
544,-188.8151814,-200.5984742,-191.9935525
545,-186.5213283,-201.331784,-190.4672214
546,-184.4988855,-199.8582274,-188.7234643
547,-180.651287,-199.9171738,-188.3377283
548,-180.4334592,-199.4826992,-187.910544
549,-180.4240862,-198.4849848,-185.8101912
550,-181.4085328,-197.6497137,-187.338666
551,-183.1026345,-195.9361415,-188.6764507
552,-190.6129318,-193.477849,-187.9380202
553,-190.6739463,-193.8725879,-188.429219
554,-190.795983,-191.1311402,-191.4019809
555,-191.1909783,-190.5610734,-191.7908823
556,-194.0182829,-188.8309477,-192.6664439
557,-199.3704292,-184.9444485,-191.8756298
558,-197.4581868,-184.8664933,-190.5706545
559,-197.3445629,-184.9499589,-189.1999071
560,-196.8069238,-183.0503425,-189.6423799
561,-196.2943051,-183.8060623,-190.2002698
562,-196.0723482,-185.7756445,-190.7986859
563,-196.2335352,-188.941675,-191.8982371
564,-196.6088635,-192.1444507,-191.8262895
565,-196.073259,-192.0876895,-193.183383
566,-195.6511719,-194.3843746,-194.4263724
567,-196.0638223,-194.3060885,-190.8908173
568,-195.9604567,-194.5032721,-187.3194651
569,-195.9152304,-191.3790255,-188.188531
570,-195.3980247,-189.7041139,-189.7923368
571,-194.4419761,-189.7814723,-187.7409966
572,-195.8777625,-195.6472513,-188.4717265
573,-197.6018529,-196.6595267,-196.0249973
574,-196.2825807,-198.3239852,-194.6295683
575,-196.1279305,-198.6045458,-193.5137576
576,-196.1979868,-195.8819293,-194.7553408
577,-200.2815392,-199.7732239,-194.3175911
578,-200.9383358,-202.3089399,-194.0420161
579,-199.2203737,-203.2560763,-193.8393563
580,-200.383915,-199.3665065,-195.4759094
581,-201.9611681,-198.3914742,-192.974429
582,-199.7137729,-197.4792837,-194.1533133
583,-197.1501323,-196.9966943,-196.326003
584,-198.9881293,-194.0410421,-196.9321768
585,-206.4922222,-191.5806454,-197.3323401
586,-207.2130951,-192.9372559,-195.2191719
587,-208.1511485,-192.3933411,-192.5845852
588,-208.0618629,-191.7180206,-192.7229271
589,-207.5664608,-190.768212,-196.5616285
590,-207.5354402,-191.0248525,-201.7087398
591,-207.6261974,-189.8446369,-200.772246
592,-207.8913624,-191.945932,-196.8641028
593,-207.9108516,-203.0473997,-197.8009147
594,-207.7438545,-205.8155267,-199.9100825
595,-208.0240909,-204.8235578,-198.8943057
596,-206.6750414,-206.2726792,-197.0363565
597,-202.5232983,-206.5893105,-192.8882296
598,-201.3324697,-200.5886404,-192.84914
599,-200.8505138,-199.4280751,-194.1284451
600,-205.5489022,-198.6906933,-193.7376667
601,-205.6426039,-198.5632,-195.4026488
602,-205.8772274,-198.2236093,-197.4370029
603,-204.4310502,-197.5352411,-195.2306635
604,-205.8943264,-197.7345972,-194.4905214
605,-201.9444919,-197.6769051,-194.3409488
606,-202.1595233,-197.5616345,-194.1816809
607,-202.4780183,-198.3828209,-193.1579063
608,-202.2453554,-198.4138968,-199.4250626
609,-202.1663673,-194.8036024,-203.8430714
610,-201.4008966,-197.2591175,-202.7538257
611,-197.8964272,-198.4125606,-206.183839
